"",,menghasilkan susu.,,,
58,01450,PETERNAKAN BABI,11,10,9
"",,Kelompok ini mencakup usaha peternakan yang menyelenggarakan pembibitan,,,
"",,"ternak babi, untuk menghasilkan ternak bibit babi, mani dan mudigah dan",,,
"",,peternakan yang menyelenggarakan budidaya babi untuk menghasilkan babi,,,
"",,potong.,,,
59,01461,PEMBIBITAN DAN BUDIDAYA AYAM RAS PEDAGING,11,10,9
"",,"Kelompok ini mencakup usaha peternakan yang menyelenggarakan pembibitanayam ras pedaging untuk menghasilkan ayam bibit dan telur tetas dan peternakanyang menyelenggarakan budidaya ayam ras untuk menghasilkan ayam pedagingdan lainnya.",,,
60,01462,PEMBIBITAN DAN BUDIDAYA AYAM RAS PETELUR,11,10,9
"",,"Kelompok ini mencakup usaha peternakan yang menyelenggarakan pembibitanayam ras petelur untuk menghasilkan ayam bibit dan telur tetas dan peternakanyang menyelenggarakan budidaya ayam ras untuk menghasilkan telur konsumsidan lainnya.",,,
61,01463,PEMBIBITAN DAN BUDIDAYA AYAM BURAS,11,10,9
"",,"Kelompok ini mencakup usaha peternakan yang menyelenggarakan pembibitanayam buras (bukan ras), untuk menghasilkan ternak bibit ayam buras petelur danatau telur tetas dan peternakan yang menyelenggarakan budidaya ayam burasuntuk menghasilkan ayam buras potong, telur konsumsi dan lainnya.",,,
62,01464,PEMBIBITAN DAN BUDIDAYA ITIK,11,10,9
"",,"Kelompok ini mencakup usaha peternakan yang menyelenggarakan pembibitan itik,",,,
"",,untuk menghasilkan ternak bibit itik dan atau telur tetas dan peternakan yang,,,
"",,"menyelenggarakan budidaya itik untuk menghasilkan itik potong, telur konsumsi",,,
"",,dan lainnya.,,,
63,01465,PEMBIBITAN DAN BUDIDAYA ITIK MANILA,11,10,9
"",,Kelompok ini mencakup usaha peternakan yang menyelenggarakan pembibitan itik,,,
"",,"manila, untuk menghasilkan ternak bibit itik manila dan atau telur tetas dan",,,
"",,peternakan yang menyelenggarakan budidaya itik manila untuk menghasilkan itik,,,
"",,"manila potong, telur konsumsi dan lainnya.",,,
64,01466,PEMBIBITAN DAN BUDIDAYA BURUNG PUYUH,11,10,9
"",,Kelompok ini mencakup usaha peternakan yang menyelenggarakan pembibitan,,,
"",,"burung puyuh, untuk menghasilkan ternak bibit burung puyuh dan atau telur",,,
"",,tetas dan peternakan yang menyelenggarakan budidaya burung puyuh untuk,,,
"",,menghasilkan burung puyuh potong atau telur konsumsi.,,,
65,01467,PEMBIBITAN DAN BUDIDAYA BURUNG MERPATI,11,10,9
"",,Kelompok ini mencakup usaha peternakan yang menyelenggarakan pembibitan,,,
"",,"burung merpati, untuk menghasilkan ternak bibit burung merpati dan atau telur",,,
"",,tetas dan peternakan yang menyelenggarakan budidaya burung merpati untuk,,,
"",,menghasilkan burung merpati potong atau diambil bulunya.,,,
66,01469,PEMBIBITAN DAN BUDIDAYA TERNAK UNGGAS LAINNYA,11,10,9
"",,Kelompok ini mencakup usaha peternakan yang menyelenggarakan pembibitan,,,
"",,"ternak unggas lainnya, seperti kalkun, entok, angsa dan burung walet, untuk",,,
"",,menghasilkan bibit dan atau telur tetas dan peternakan yang menyelenggarakan,,,
"",,"budidaya unggas tersebut untuk menghasilkan daging, bulu dan telur.",,,
67,01491,PEMBIBITAN DAN BUDIDAYA BURUNG UNTA,11,10,9
"",,Kelompok ini mencakup usaha peternakan yang menyelenggarakan pembibitan,,,
"",,"burung unta, untuk menghasilkan ternak bibit burung unta dan atau telur tetas",,,
"",,dan peternakan yang menyelenggarakan budidaya burung unta konsumsi untuk,,,
"",,"menghasilkan burung unta potong, telur dan atau lainnya.",,,
68,01492,PENGUSAHAAN KOKON/KEPOMPONG ULAT SUTERA,11,10,9
"",,"Kelompok ini mencakup usaha penanaman, pemeliharaan, pemungutan hasil,pengolahan dan pemasaran kokon/kepompong ulat sutera.",,,
69,01493,PEMBIBITAN DAN BUDIDAYA LEBAH,11,10,9
"",,"Kelompok ini mencakup usaha peternakan yang menyelenggarakan pembibitan danbudidaya lebah, termasuk pengusahaan madu.",,,
70,01494,PEMBIBITAN DAN BUDIDAYA RUSA,11,10,9
"",,"budidaya ternak rusa/kijang, baik untuk menghasilkan bibit dan daging, kulit danlainnya.",,,
71,01499,PEMBIBITAN DAN BUDIDAYA ANEKA TERNAK LAINNYA,11,10,9
"",,"Kelompok ini mencakup usaha peternakan yang menyelenggarakan pembibitananeka ternak, seperti kelinci/marmut, anjing, kucing, kera/primata lainnya, ulat,cacing, jangkrik dan aneka ternak lainnya, untuk menghasilkan bibit danpeternakan yang menyelenggarakan budidaya aneka ternak untuk menghasilkandaging, kulit dan lainnya.",,,
